2;2,37854187
3;2,61642622
4;2,78554590
5;2,91979074
6;3,03271059
7;3,13110671
8;3,21823513
9;3,29755834
10;3,37000183
11;3,43662138
12;3,49868750
13;3,55666556
14;3,61013852
15;3,66162585
16;3,71032901
17;3,75655229
18;3,80055021
19;3,84253826
20;3,88270080
21;3,92119694
22;3,95787488
23;3,99346912
24;4,02775899
25;4,06084023
26;4,09279813
27;4,12370896
28;4,15364131
29;4,18265708
30;4,21081231
31;4,23815798
32;4,26474055
33;4,29060252
34;4,31578287
35;4,34031743
36;4,36423925
37;4,38757886
38;4,41036450
39;4,43262241
40;4,45437695
41;4,47344166
42;4,49434635
43;4,51480574
44;4,53483881
45;4,55446334
46;4,57369600
47;4,59255243
48;4,61104737
49;4,62919467
50;4,64700740
51;4,66449790
52;4,68167781
53;4,69855818
54;4,71514943
55;4,73146146
56;4,74750368
57;4,76328500
58;4,77881391
59;4,79409847
60;4,80914636
61;4,82396491
62;4,83856112
63;4,85294163
64;4,86711283
65;4,88108080
66;4,89485137
67;4,90843011
68;4,92182236
69;4,93503324
70;4,94806765
71;4,96093031
72;4,97362575
73;4,98615829
74;4,99853213
75;5,01075127
76;5,02281958
77;5,03474078
78;5,04651845
79;5,05815605
80;5,06965691
81;5,08102422
82;5,09226110
83;5,10337054
84;5,11435541
85;5,12521852
86;5,13596256
87;5,14659013
88;5,15710376
89;5,16750590
90;5,17779889
91;5,18798504
92;5,19806655
93;5,20804557
94;5,21792420
95;5,22770443
96;5,23738824
97;5,24697752
98;5,25647412
99;5,26587982
